username;password;age;email
ab;short;103;good@mail.com
abc;;88;good@mail.com
ab;null;69;null
VeryLongUserName123;valid1;;good@mail.com
null;null;51;bad-email
null;valid1;121;bad-email
abc;;66;perfect@school.edu
VeryLongUserName123;short;96;good@mail.com
;null;101;good@mail.com
abc;short;90;good@mail.com
ab;valid1;71;perfect@school.edu
abc;null;112;bad-email
ab;longpassword;61;good@mail.com
abc;;60;bad-email
ab;valid1;119;good@mail.com
VeryLongUserName123;longpassword;121;perfect@school.edu
abc;null;65;bad-email
ab;longpassword;95;bad-email
VeryLongUserName123;short;;null
abc;;66;
ab;longpassword;63;good@mail.com
VeryLongUserName123;longpassword;30;bad-email
ab;short;73;good@mail.com
